

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1560.387  002.595  000.624: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/log.vim
1561.301  000.154  000.154: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/config.vim
1562.262  000.146  000.146: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/cmd.vim
1564.081  000.982  000.982: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/virtualtext.vim
1566.081  001.498  001.498: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake.vim
1568.652  001.368  001.368: sourcing /home/sroeca/.config/nvim/pack/packager/start/neomake/autoload/neomake/statusline.vim
1569.459  000.145  000.145: sourcing /home/sroeca/.config/nvim/pack/packager/start/deoplete.nvim/autoload/deoplete/custom.vim
1570.201  000.156  000.156: sourcing /home/sroeca/.config/nvim/pack/packager/start/deoplete.nvim/autoload/deoplete/init.vim
1570.988  000.137  000.137: sourcing /home/sroeca/.config/nvim/pack/packager/start/deoplete.nvim/autoload/deoplete/util.vim
1573.116  000.028  000.028: sourcing /usr/share/nvim/runtime/autoload/provider.vim
1725.740  000.219  000.219: sourcing /home/sroeca/.config/nvim/pack/packager/start/deoplete.nvim/autoload/deoplete/mapping.vim
1726.619  000.218  000.218: sourcing /home/sroeca/.config/nvim/pack/packager/start/deoplete.nvim/autoload/deoplete/handler.vim
1727.956  000.713  000.713: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-startify/autoload/startify.vim
1730.328  001.639  001.639: sourcing /home/sroeca/.config/nvim/pack/packager/start/LanguageClient-neovim/autoload/LanguageClient.vim
1731.126  000.151  000.151: sourcing /home/sroeca/.config/nvim/pack/packager/start/LanguageClient-neovim/autoload/LSP.vim
1736.999  000.263  000.263: sourcing /home/sroeca/.config/nvim/pack/packager/start/vim-startify/syntax/startify.vim
1739.028  235.468: VimEnter autocommands
1739.032  000.005: UIEnter autocommands
1739.034  000.002: before starting main loop
1740.867  001.833: first screen update
1740.870  000.003: --- NVIM STARTED ---
